"filename", "language", "JavaScript", "JSON", "JSON with Comments", "CSS", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "XML", "comment", "blank", "total"
"h:\5.Projects\CoreNex UI\client\src\Icons\icons8-tick-150.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\Icons\icons8-tick-250.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"h:\5.Projects\CoreNex UI\client\src\Icons\icons8-tick-50.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"h:\5.Projects\CoreNex UI\client\src\Pages\AdminPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"h:\5.Projects\CoreNex UI\client\src\Pages\ChallengeDescription.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 14
"h:\5.Projects\CoreNex UI\client\src\Pages\CssChallengecreate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"h:\5.Projects\CoreNex UI\client\src\Pages\Csschallenges.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 0, 1, 14, 134
"h:\5.Projects\CoreNex UI\client\src\Pages\Csselements.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 1, 11, 116
"h:\5.Projects\CoreNex UI\client\src\Pages\Editor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 7, 15
"h:\5.Projects\CoreNex UI\client\src\Pages\EmailVerificationStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 6, 57
"h:\5.Projects\CoreNex UI\client\src\Pages\EventManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 2, 12, 138
"h:\5.Projects\CoreNex UI\client\src\Pages\ForgotPassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 2, 63
"h:\5.Projects\CoreNex UI\client\src\Pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"h:\5.Projects\CoreNex UI\client\src\Pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 333, 0, 62, 42, 437
"h:\5.Projects\CoreNex UI\client\src\Pages\NotesUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"h:\5.Projects\CoreNex UI\client\src\Pages\PermissionManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"h:\5.Projects\CoreNex UI\client\src\Pages\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 16, 11, 194
"h:\5.Projects\CoreNex UI\client\src\Pages\Signup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 208, 0, 17, 11, 236
